run,blackbox,model,learner,rules,coverage,seed,model_number,specificity_without,precision_without,recall_without,time_without,and_without,or_without,predicates_without,specificity_with,precision_with,recall_with,time_with,and_with,or_with,predicates_with,time_influential
1,bank,rfc,3,tree,0.6,56789012,5,0.959,0.442,0.333,1.407,1,0,2,0.894,0.385,0.682,1.434,3,3,7,1.354
1,bank,rfc,4,bayesian,0.6,12345678,1,0.965,0.417,0.248,251.907,1,0,2,0.881,0.352,0.645,973.33,4,7,12,0.961
1,bank,rfc,4,bayesian,0.6,23456789,2,0.959,0.444,0.346,228.443,1,0,2,0.9,0.37,0.62,857.31,4,4,9,0.963
1,bank,rfc,4,bayesian,0.6,34567890,3,0.959,0.458,0.349,202.188,1,0,2,0.882,0.368,0.696,789.282,4,6,11,0.984
1,bank,rfc,4,bayesian,0.6,45678901,4,0.973,0.469,0.245,281.773,1,0,2,0.876,0.335,0.645,785.329,3,5,9,0.968
1,bank,rfc,4,bayesian,0.6,56789012,5,0.957,0.438,0.344,208.182,1,0,2,0.888,0.358,0.638,626.297,3,6,10,0.966
1,bank,rfc,4,induction,0.6,12345678,1,0.94,0.387,0.376,42.356,0,0,1,0.87,0.344,0.677,218.642,0,3,4,1.351
1,bank,rfc,4,induction,0.6,23456789,2,0.941,0.399,0.414,36.358,0,0,1,0.866,0.334,0.714,160.577,0,2,3,1.361
1,bank,rfc,4,induction,0.6,34567890,3,0.945,0.43,0.423,39.87,0,0,1,0.87,0.355,0.727,200.031,0,2,3,1.037
1,bank,rfc,4,induction,0.6,45678901,4,0.943,0.406,0.401,43.923,0,0,1,0.869,0.337,0.685,241.104,0,3,4,1.385
1,bank,rfc,4,induction,0.6,56789012,5,0.944,0.412,0.404,39.76,0,0,1,0.869,0.345,0.705,239.564,0,3,4,1.241
1,bank,rfc,4,islearn,0.6,12345678,1,0.77,0.217,0.633,651.145,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,1.347
1,bank,rfc,4,islearn,0.6,23456789,2,0.812,0.232,0.602,701.153,0,0,1,-1,-1,-1,-1.0,-1,-1,-1,1.369
1,bank,rfc,4,islearn,0.6,34567890,3,0.772,0.205,0.6,683.661,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,1.437
1,bank,rfc,4,islearn,0.6,45678901,4,0.825,0.25,0.601,718.241,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,1.13
1,bank,rfc,4,islearn,0.6,56789012,5,0.766,0.201,0.604,745.262,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,1.352
1,bank,rfc,4,tree,0.6,12345678,1,0.978,0.468,0.191,1.374,1,0,2,0.879,0.373,0.715,1.402,3,3,7,1.334
