blackbox,model,learner,rules,coverage,seed,model_number,time_without,time_with,specificity_without,precision_without,recall_without,and_without,or_without,predicates_without,specificity_with,precision_with,recall_with,and_with,or_with,predicates_with,time_influential,fscore_without,fscore_with
bank,rfc,3,induction,0.6,34567890,3,41.795,215.365,0.945,0.43,0.423,0,0,1,0.87,0.355,0.727,0,2,3,1.419,0.429,0.395
bank,rfc,3,induction,0.6,45678901,4,37.273,201.622,0.943,0.406,0.401,0,0,1,0.869,0.337,0.685,0,3,4,0.992,0.405,0.375
bank,rfc,3,induction,0.6,56789012,5,43.373,251.99,0.944,0.412,0.404,0,0,1,0.869,0.345,0.705,0,3,4,1.349,0.41,0.384
bank,rfc,3,islearn,0.6,12345678,1,458.212,-1.0,0.818,0.249,0.601,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.978,0.282,-1.0
bank,rfc,3,islearn,0.6,23456789,2,541.443,-1.0,0.813,0.233,0.603,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,0.981,0.266,-1.0
bank,rfc,3,islearn,0.6,34567890,3,534.786,-1.0,0.742,0.19,0.617,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,1.359,0.221,-1.0
bank,rfc,3,islearn,0.6,45678901,4,525.565,-1.0,0.752,0.192,0.608,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,1.339,0.222,-1.0
bank,rfc,3,islearn,0.6,56789012,5,571.781,-1.0,0.691,0.17,0.649,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,1.361,0.199,-1.0
bank,rfc,3,tree,0.6,12345678,1,1.088,1.112,0.978,0.468,0.191,1,0,2,0.879,0.373,0.715,3,3,7,0.982,0.363,0.412
bank,rfc,3,tree,0.6,23456789,2,1.249,1.259,0.959,0.444,0.352,1,0,2,0.903,0.384,0.643,2,2,5,1.234,0.422,0.418
bank,rfc,3,tree,0.6,34567890,3,1.171,1.182,0.964,0.468,0.325,1,0,2,0.903,0.391,0.631,2,2,5,0.999,0.43,0.423
bank,rfc,3,tree,0.6,45678901,4,1.122,1.151,0.981,0.495,0.192,1,0,2,0.903,0.391,0.643,3,3,7,1.394,0.376,0.424
bank,rfc,3,tree,0.6,56789012,5,1.273,1.299,0.959,0.442,0.333,1,0,2,0.894,0.385,0.682,3,3,7,1.354,0.415,0.422
bank,rfc,4,bayesian,0.6,12345678,1,253.231,994.017,0.965,0.417,0.248,1,0,2,0.881,0.352,0.645,4,7,12,0.961,0.367,0.387
bank,rfc,4,bayesian,0.6,23456789,2,224.903,860.295,0.959,0.444,0.346,1,0,2,0.9,0.37,0.62,4,4,9,0.963,0.42,0.402
bank,rfc,4,bayesian,0.6,34567890,3,198.779,790.291,0.959,0.458,0.349,1,0,2,0.882,0.368,0.696,4,6,11,0.984,0.431,0.406
